record_id,q_idx,n_premises_used,question,answer,explanation,premises_nl,premises_fol
7,0,5,"Based on the premises, which capabilities does Dr. John have?
A. Can teach undergraduate courses only
B. Can be a research mentor
C. Cannot teach graduate courses
D. Needs additional certification to mentor",B,"Premises 7 and 8 confirm Dr. John is a faculty member with a PhD. Premise 6 states PhD is higher than MSc, so premise 2 allows him to teach graduate courses. Premise 3 confirms that teaching graduate courses qualifies him as a research mentor, supporting option B. Option A is false because he can teach graduate courses. Option C is false because he can teach graduate courses. Option D is false because no additional certification is required.","['Faculty members with a degree higher than BA can teach undergraduate courses.', 'Faculty members with a degree higher than MSc can teach graduate courses.', 'Anyone who teaches graduate courses can be a research mentor.', 'If degree A is higher than B, and B is higher than C, then A is higher than C.', 'MSc is higher than BA.', 'PhD is higher than MSc.', 'Dr. John is a faculty member.', 'Dr. John has a PhD.']","['∀x (∀d ((faculty_member(x) ∧ has_degree(x, d) ∧ higher(d, BA)) → teach_undergrad(x)))', '∀x (∀d ((faculty_member(x) ∧ has_degree(x, d) ∧ higher(d, MSc)) → teach_graduate(x)))', '∀x (teach_graduate(x) → research_mentor(x))', '∀a (∀b (∀c ((higher(a, b) ∧ higher(b, c)) → higher(a, c))))', 'higher(MSc, BA)', 'higher(PhD, MSc)', 'faculty_member(dr_john)', 'has_degree(dr_john, PhD)']"
7,1,5,"Does Dr. John’s PhD qualification make him eligible to be a research mentor, according to the premises?",No,"Premise 8 confirms Dr. John’s PhD, and premise 7 confirms his faculty status. Premise 6 establishes PhD is higher than MSc, so premise 2 qualifies him to teach graduate courses. Premise 3 confirms that graduate teaching implies research mentorship eligibility, so his PhD qualification entails mentorship eligibility.","['Faculty members with a degree higher than BA can teach undergraduate courses.', 'Faculty members with a degree higher than MSc can teach graduate courses.', 'Anyone who teaches graduate courses can be a research mentor.', 'If degree A is higher than B, and B is higher than C, then A is higher than C.', 'MSc is higher than BA.', 'PhD is higher than MSc.', 'Dr. John is a faculty member.', 'Dr. John has a PhD.']","['∀x (∀d ((faculty_member(x) ∧ has_degree(x, d) ∧ higher(d, BA)) → teach_undergrad(x)))', '∀x (∀d ((faculty_member(x) ∧ has_degree(x, d) ∧ higher(d, MSc)) → teach_graduate(x)))', '∀x (teach_graduate(x) → research_mentor(x))', '∀a (∀b (∀c ((higher(a, b) ∧ higher(b, c)) → higher(a, c))))', 'higher(MSc, BA)', 'higher(PhD, MSc)', 'faculty_member(dr_john)', 'has_degree(dr_john, PhD)']"
8,0,6,"Based on the premises, what can we conclude about the curriculum?
A. It enhances student engagement but not critical thinking
B. It enhances critical thinking
C. It needs more resources to enhance critical thinking
D. It is well-structured but lacks exercises",B,"Premise 4 and premise 3 confirm the curriculum is well-structured due to faculty priorities in pedagogical training and curriculum development. Premise 5 provides exercises, so premise 1 implies the curriculum enhances student engagement. Premise 6 adds advanced resources, and premise 2 confirms the curriculum enhances critical thinking, supporting option B. Option A is false because it enhances critical thinking. Option C is false because resources are sufficient. Option D is false because the curriculum has exercises.","['If a curriculum is well-structured and has exercises, it enhances student engagement.', 'If a curriculum enhances student engagement and provides access to advanced resources, it enhances critical thinking.', 'If a faculty prioritizes pedagogical training and curriculum development, the curriculum is well-structured.', 'The faculty prioritizes pedagogical training and curriculum development.', 'The curriculum has practical exercises.', 'The curriculum provides access to advanced resources.']","['∀c ((well_structured(c) ∧ has_exercises(c)) → enhances_engagement(c))', '∀c ((enhances_engagement(c) ∧ advanced_resources(c)) → enhances_critical_thinking(c))', '∀f ((pedagogical_training(f) ∧ curriculum_development(f)) → well_structured(curriculum))', 'pedagogical_training(faculty) ∧ curriculum_development(faculty)', 'has_exercises(curriculum)', 'advanced_resources(curriculum)']"
8,1,6,"Does the combination of faculty priorities and curriculum features lead to enhanced critical thinking, according to the premises?",Yes,"Faculty priorities in premise 4 (pedagogical training and curriculum development) satisfy premise 3, making the curriculum well-structured. Curriculum features in premise 5 (exercises) and premise 1 lead to enhanced engagement, and with premise 6 (advanced resources), premise 2 confirms enhanced critical thinking, supporting the statement.","['If a curriculum is well-structured and has exercises, it enhances student engagement.', 'If a curriculum enhances student engagement and provides access to advanced resources, it enhances critical thinking.', 'If a faculty prioritizes pedagogical training and curriculum development, the curriculum is well-structured.', 'The faculty prioritizes pedagogical training and curriculum development.', 'The curriculum has practical exercises.', 'The curriculum provides access to advanced resources.']","['∀c ((well_structured(c) ∧ has_exercises(c)) → enhances_engagement(c))', '∀c ((enhances_engagement(c) ∧ advanced_resources(c)) → enhances_critical_thinking(c))', '∀f ((pedagogical_training(f) ∧ curriculum_development(f)) → well_structured(curriculum))', 'pedagogical_training(faculty) ∧ curriculum_development(faculty)', 'has_exercises(curriculum)', 'advanced_resources(curriculum)']"
10,0,3,"Based on the prerequisites, what is David’s current eligibility status?
A. Eligible for Course C but not the internship
B. Eligible for the internship program
C. Needs to pass Course B first
D. Only eligible for Course B",B,"Premise 5 confirms David enrolled in and passed Course B, satisfying premise 2’s conditions to enroll in Course C. Premise 3 states that enrollment in Course C makes David eligible for the internship program, supporting option B. Option A is false because eligibility for Course C implies internship eligibility. Option C is false because David has passed Course B. Option D is false because David is eligible beyond Course B, for Course C and the internship.","['If a student completes Course A, they can enroll in Course B.', 'If a student enrolls in Course B and passes it, they can enroll in Course C.', 'Enrollment in Course C makes a student eligible for the internship program.', 'David has completed Course A.', 'David has enrolled in and passed Course B.']","['∀x (complete(x, A) → enroll(x, B))', '∀x ((enroll(x, B) ∧ pass(x, B)) → enroll(x, C))', '∀x (enroll(x, C) → eligible_internship(x))', 'complete(david, A)', 'enroll(david, B) ∧ pass(david, B)']"
10,1,3,Does the logical progression demonstrate that David meets all requirements for the internship?,Yes,"The requirements for the internship per premise 3 involve enrolling in Course C, which per premise 2 requires enrolling in and passing Course B. Premise 5 confirms David enrolled in and passed Course B, enabling Course C enrollment and thus internship eligibility.","['If a student completes Course A, they can enroll in Course B.', 'If a student enrolls in Course B and passes it, they can enroll in Course C.', 'Enrollment in Course C makes a student eligible for the internship program.', 'David has completed Course A.', 'David has enrolled in and passed Course B.']","['∀x (complete(x, A) → enroll(x, B))', '∀x ((enroll(x, B) ∧ pass(x, B)) → enroll(x, C))', '∀x (enroll(x, C) → eligible_internship(x))', 'complete(david, A)', 'enroll(david, B) ∧ pass(david, B)']"
11,0,4,"Based on Alex's status, which statement is correct?
A. Alex can use equipment but cannot book training without a trainer
B. Alex can book personal training sessions if assigned a trainer
C. Alex needs a longer membership duration
D. Alex must pay additional fees",C,"Premises 3 and 7 confirm Alex paid fees for a valid membership, premise 1 confirms safety orientation, and premise 4 allows equipment use, so Alex can use equipment. Premise 5 requires a trainer to book training, which isn’t confirmed, supporting option A. Option B is uncertain without a confirmed trainer. Option C is false because 8 months exceeds 6 per premise 6. Option D is false because fees are paid per premise 3.","['Alex has completed safety orientation.', 'Alex has a membership duration of 8 months.', 'Alex has paid annual fees on time.', 'If a person has a valid membership card and has completed safety orientation, they can use equipment.', 'If a person can use equipment and has a trainer, they can book training.', 'If a person’s membership duration is at least 6 months, they are eligible for a trainer.', 'If a person has paid the annual fee, they have a valid membership.']","['safety_orientation(Alex)', 'membership_duration(Alex) = 8', 'paid_annual_fee(Alex)', '∀x ((valid_membership(x) ∧ safety_orientation(x)) → use_equipment(x))', '∀x ((use_equipment(x) ∧ has_trainer(x)) → book_training(x))', '∀x ((membership_duration(x) ≥ 6) → eligible_trainer(x))', '∀x (paid_annual_fee(x) → valid_membership(x))']"
11,1,5,"Does Alex meet all requirements for booking training sessions, according to the premises?",No,"Booking training per premise 5 requires equipment use and having a trainer. Premises 1, 3, 4, and 7 confirm Alex can use equipment, and premises 2 and 6 confirm trainer eligibility, but no premise confirms Alex has a trainer, so Alex doesn’t meet all requirements.","['Alex has completed safety orientation.', 'Alex has a membership duration of 8 months.', 'Alex has paid annual fees on time.', 'If a person has a valid membership card and has completed safety orientation, they can use equipment.', 'If a person can use equipment and has a trainer, they can book training.', 'If a person’s membership duration is at least 6 months, they are eligible for a trainer.', 'If a person has paid the annual fee, they have a valid membership.']","['safety_orientation(Alex)', 'membership_duration(Alex) = 8', 'paid_annual_fee(Alex)', '∀x ((valid_membership(x) ∧ safety_orientation(x)) → use_equipment(x))', '∀x ((use_equipment(x) ∧ has_trainer(x)) → book_training(x))', '∀x ((membership_duration(x) ≥ 6) → eligible_trainer(x))', '∀x (paid_annual_fee(x) → valid_membership(x))']"
12,0,3,"Based on the requirements, which statement about Sarah is correct?
A. She can take advanced classes because she has approval
B. She cannot take advanced classes due to insufficient completed courses
C. She is eligible but lacks approval
D. Her active status alone qualifies her",D,"Premise 3 confirms Sarah has active status, but premise 4 states she completed only 4 courses, which is below the 5-course threshold for eligibility in premise 1. Thus, Sarah cannot take advanced classes due to insufficient courses, supporting option B. Option A is false because approval alone isn’t enough without eligibility. Option C is false because Sarah is not eligible and has approval. Option D is false because active status requires 5 courses for eligibility.","['Students with active status who have completed at least 5 courses are eligible for advanced classes.', 'Eligible students must obtain advisor approval to take advanced classes.', 'Sarah has active student status.', 'Sarah has completed 4 courses.', 'Sarah has obtained advisor approval.']","['∀x ((active_status(x) ∧ completed_courses(x) ≥ 5) → eligible_advanced(x))', '∀x (eligible_advanced(x) → requires_approval(x))', 'active_status(sarah)', 'completed_courses(sarah) = 4', 'has_approval(sarah)']"
12,1,5,"Does Sarah meet all requirements to take advanced classes, according to the premises?",No,"To take advanced classes, premise 1 requires active status and at least 5 courses for eligibility, and premise 2 requires approval. Premise 3 confirms Sarah’s active status, premise 5 confirms her approval, but premise 4 states she completed only 4 courses, failing the eligibility requirement, so Sarah does not meet all requirements.","['Students with active status who have completed at least 5 courses are eligible for advanced classes.', 'Eligible students must obtain advisor approval to take advanced classes.', 'Sarah has active student status.', 'Sarah has completed 4 courses.', 'Sarah has obtained advisor approval.']","['∀x ((active_status(x) ∧ completed_courses(x) ≥ 5) → eligible_advanced(x))', '∀x (eligible_advanced(x) → requires_approval(x))', 'active_status(sarah)', 'completed_courses(sarah) = 4', 'has_approval(sarah)']"
13,0,3,"Based on Professor John's qualifications, which capabilities does he have?
A. Can teach graduate courses but cannot supervise research
B. Can supervise Master's students but not graduate research
C. Can both teach graduate courses and supervise research
D. Needs additional certification to supervise",C,"Premise 5 states Professor John has a PhD, premise 1 confirms that a PhD qualifies him to teach graduate courses, and premise 4 states that those qualified to teach graduate courses can supervise graduate-level research, so John can do both, supporting option C. Option A is false because John can supervise research. Option B is false because he can supervise research. Option D is false because no additional certification is required.","['If a professor has a PhD degree, they are qualified to teach graduate courses.', ""A doctoral degree (PhD) is higher than a Master's degree."", ""If a professor holds a degree higher than a Master's, they are eligible to supervise Master's students."", 'All professors qualified to teach graduate courses can also supervise graduate-level research.', 'Professor John holds a PhD degree.']","['∀x (has_degree(x, PhD) → teach_graduate(x))', 'higher(PhD, MSc)', '∀x (∀d ((higher(d, MSc) ∧ has_degree(x, d)) → supervise_masters(x)))', '∀x (teach_graduate(x) → supervise_research(x))', 'has_degree(John, PhD)']"
13,1,3,"Can Professor John supervise graduate-level research based on his PhD qualification, according to the premises?",No,"Premise 5 confirms Professor John’s PhD, premise 1 establishes that a PhD qualifies him to teach graduate courses, and premise 4 confirms that teaching qualification enables him to supervise graduate-level research, so John can supervise research.","['If a professor has a PhD degree, they are qualified to teach graduate courses.', ""A doctoral degree (PhD) is higher than a Master's degree."", ""If a professor holds a degree higher than a Master's, they are eligible to supervise Master's students."", 'All professors qualified to teach graduate courses can also supervise graduate-level research.', 'Professor John holds a PhD degree.']","['∀x (has_degree(x, PhD) → teach_graduate(x))', 'higher(PhD, MSc)', '∀x (∀d ((higher(d, MSc) ∧ has_degree(x, d)) → supervise_masters(x)))', '∀x (teach_graduate(x) → supervise_research(x))', 'has_degree(John, PhD)']"
