id,question,cot,answer,unit,domain
LD183,Two electric forces with magnitudes of 6 N and 5 N act at an angle of 120° to each other. Calculate their resultant force.,"Step 1: Identify the magnitudes of the two forces as $F_1 = 6$ N and $F_2 = 5$ N, and the angle between them as $\theta = 120^\circ$.
Step 2: Use the resultant force formula $R = \sqrt{F_1^2 + F_2^2 + 2 F_1 F_2 \cos\theta}$.
Step 3: Substitute the values to get $R^2 = 6^2 + 5^2 + 2 \cdot 6 \cdot 5 \cdot \cos(120^\circ) = 36 + 25 + 60 \cdot (-0.5)$.
Step 4: Simplify to $R^2 = 61 - 30 = 31$, so $R = \sqrt{31} \approx 5.5678$ N.",5.5678,N,LDDT
LD328,"Two charges, q1 = +1.2 × 10^-6 C and q2 = -1.2 × 10^-6 C, are placed at points A and B, separated by 5.2 cm. Point M is on the perpendicular bisector of AB, at a distance of 4.9 cm from AB. Calculate the net electric field at M. Give your answer rounded two decimal places.","Step 1: Convert distances to meters: half-separation $x = 0.026$ m, perpendicular distance $y = 0.049$ m, and distance from each charge to M is $r = \sqrt{x^2 + y^2} \approx 0.05547$ m.
Step 2: Compute the field magnitude from one charge: $E_1 = k \frac{|q_1|}{r^2} = 8.99 \times 10^9 \cdot \frac{1.2 \times 10^{-6}}{0.003077} \approx 3.5061 \times 10^6$ V/m.
Step 3: Determine the horizontal component factor: $\cos\theta = x / r = 0.026 / 0.05547 \approx 0.4687$.
Step 4: Since vertical components cancel and horizontal components add, the net field is $E_{\text{net}} = 2 \cdot E_1 \cdot \cos\theta \approx 2 \cdot 3.5061 \times 10^6 \cdot 0.4687 \approx 3.29 \times 10^6$ V/m.",3.29 * 10^{6},V/m,LDDT
LD098,"Two point charges q1 = −2 × 10^-6 C and q2 = −2 × 10^-6 C are placed at points A and B, 6 cm apart. Calculate the resultant electric field strength at point C, which lies on the perpendicular bisector of AB, at a distance of 4 cm from AB.","Step 1: Determine the distance from point C to each charge using the Pythagorean theorem: $r = \sqrt{(3 \text{ cm})^2 + (4 \text{ cm})^2} = 5$ cm $= 0.05$ m.
Step 2: Calculate the magnitude of the electric field due to one charge: $E_1 = k \frac{|q_1|}{r^2} = 9 \times 10^9 \cdot \frac{2 \times 10^{-6}}{(0.05)^2} = 7.2 \times 10^6$ V/m.
Step 3: Find the cosine of the angle $\theta$ between the field vector and the perpendicular bisector: $\cos\theta = \frac{4 \text{ cm}}{5 \text{ cm}} = 0.8$.
Step 4: The horizontal components cancel due to symmetry, so the net field is the sum of the vertical components: $E_C = 2 \times E_1 \times \cos\theta = 2 \times 7.2 \times 10^6 \times 0.8 = 1.152 \times 10^7$ V/m.",1.152 * 10^{7},V/m,LDDT
LD087,Given a square ABCD with side length 'a'. Charges q1 = q3 = q are placed at A and C. What charge must be placed at B so that the electric field at D is zero?,"Step 1: Place D at the origin $(0,0)$, so A is at $(0,a)$, C is at $(a,0)$, and B is at $(a,a)$.
Step 2: The field at D from $q$ at A is $\vec{E}_A = -\frac{kq}{a^2}\hat{j}$, and from $q$ at C is $\vec{E}_C = -\frac{kq}{a^2}\hat{i}$.
Step 3: The net field from A and C is $\vec{E}_{AC} = -\frac{kq}{a^2}\hat{i} - \frac{kq}{a^2}\hat{j}$.
Step 4: The distance from B to D is $a\sqrt{2}$, so the field from $q_2$ at B is $\vec{E}_B = \frac{k q_2}{(a\sqrt{2})^2} \cdot \frac{-\hat{i} - \hat{j}}{\sqrt{2}} = \frac{k q_2}{2\sqrt{2}a^2}(-\hat{i} - \hat{j})$.
Step 5: For zero total field, set $\vec{E}_{AC} + \vec{E}_B = 0$, giving $-\frac{kq}{a^2} - \frac{k q_2}{2\sqrt{2}a^2} = 0$, which solves to $q_2 = -2\sqrt{2} q$.",-2\sqrt{2} q,-,LDDT
LD182,"Two electric forces have magnitudes of 6 N and 5 N, and they act at a 90° angle to each other. Calculate the resultant force of these two electric forces.","Step 1: Identify the magnitudes of the two forces as $F_1 = 6$ N and $F_2 = 5$ N, with an angle of $90^\circ$ between them.
Step 2: Since the forces are perpendicular, use the Pythagorean theorem to find the resultant magnitude: $F_R = \sqrt{F_1^2 + F_2^2}$.
Step 3: Compute $F_1^2 = 36$ and $F_2^2 = 25$, then sum them to get $61$.
Step 4: Take the square root $\sqrt{61}$ to obtain the resultant force magnitude, approximately $7.8102$ N.",7.8102,N,LDDT
LD385,Three charges q1 = q2 = 2.15 × 10^-6 C and q3 = 4.76 × 10^-6 C are placed at the three vertices of an equilateral triangle with a side length of 9.78 cm. Calculate the net electric field strength at the position of q3. Give your answer rounded to two decimal places.,"Step 1: Convert the side length to meters: $r = 9.78$ cm $= 0.0978$ m, which is the distance from $q_1$ and $q_2$ to $q_3$.
Step 2: Calculate the field magnitude due to $q_1$: $E_1 = k \frac{|q_1|}{r^2} = 8.99 \times 10^9 \cdot \frac{2.15 \times 10^{-6}}{0.0978^2} \approx 2.021 \times 10^6$ V/m.
Step 3: Since $q_2 = q_1$ and the distance is the same, $E_2 = E_1 \approx 2.021 \times 10^6$ V/m.
Step 4: The angle between the two field vectors is $60^\circ$, so the net field is $E_{\text{net}} = 2 E_1 \cos(30^\circ) = 2 \times 2.021 \times 10^6 \times 0.866$.
Step 5: Compute the result: $E_{\text{net}} \approx 3.50 \times 10^6$ V/m.",3.50 * 10^{6},V/m,LDDT
LD083,"Three positive charges, q1 = q2 = q3 = q = 5 × 10^-9 C, are placed at three consecutive vertices of a square with side length a = 30 cm in the air. What is the magnitude of the electric field at the fourth vertex?","Step 1: Place the fourth vertex at the origin and assign coordinates: $q_1$ at $(0, a)$, $q_2$ at $(a, a)$, and $q_3$ at $(a, 0)$ with $a = 0.30$ m.
Step 2: Compute the field magnitude from $q_1$ and $q_3$: $E_1 = E_3 = kq/a^2 = (8.99 \times 10^9)(5 \times 10^{-9})/(0.30)^2 \approx 499.4$ V/m.
Step 3: Compute the field magnitude from $q_2$ at distance $r_2 = a\sqrt{2} \approx 0.424$ m: $E_2 = kq/r_2^2 = (8.99 \times 10^9)(5 \times 10^{-9})/(0.18) \approx 249.7$ V/m.
Step 4: Resolve vectors: $\vec{E}_1 = (0, -499.4)$, $\vec{E}_3 = (-499.4, 0)$, and $\vec{E}_2 = (-249.7\cos 45^\circ, -249.7\sin 45^\circ) \approx (-176.6, -176.6)$.
Step 5: Sum components: $E_x = -499.4 - 176.6 = -676.0$ V/m, $E_y = -499.4 - 176.6 = -676.0$ V/m, then magnitude $E = \sqrt{(-676.0)^2 + (-676.0)^2} \approx 9.56 \times 10^2$ V/m.",9.6 * 10^{2},V/m,LDDT
LD117,"Two electric charges, q1 = -3 × 10^-8 C and q2 = -6 × 10^-8 C, are placed at points A and B, separated by 17 cm in the air. A third charge, q3 = +3 × 10^-8 C, is placed at point C. Given that the distance from C to A is 8 cm and the distance from C to B is 9 cm. Calculate the net electric force acting on q3.","Step 1: Identify the charges $q_1 = -3 \times 10^{-8}$ C, $q_2 = -6 \times 10^{-8}$ C, $q_3 = +3 \times 10^{-8}$ C, and the Coulomb constant $k = 9 \times 10^9$ N·m²/C².
Step 2: Convert distances to meters: $r_{CA} = 0.08$ m, $r_{CB} = 0.09$ m. Since $0.08 + 0.09 = 0.17$ m equals the separation AB, $q_3$ lies on the line segment between $q_1$ and $q_2$.
Step 3: Determine force directions: $F_{13}$ (from $q_1$ on $q_3$) is attractive toward A, and $F_{23}$ (from $q_2$ on $q_3$) is attractive toward B, so the forces act in opposite directions.
Step 4: Compute $F_{13} = k \frac{|q_1 q_3|}{r_{CA}^2} = 9 \times 10^9 \cdot \frac{9 \times 10^{-16}}{0.0064} = 1.265625 \times 10^{-3}$ N and $F_{23} = k \frac{|q_2 q_3|}{r_{CB}^2} = 9 \times 10^9 \cdot \frac{18 \times 10^{-16}}{0.0081} = 2.0 \times 10^{-3}$ N.
Step 5: The net force is $F_{net} = F_{23} - F_{13} = 2.0 \times 10^{-3} - 1.265625 \times 10^{-3} = 0.734375 \times 10^{-3}$ N, directed toward B.",0.734 * 10^{-3},N,LDDT
LD054,"Two point charges, q1 = 6 × 10^-6 C and q2 = -6 × 10^-6 C, are placed in air at points A and B, separated by 10 cm.
 Calculate the electric force exerted on a charge q3 = -3 × 10^-8 C placed at C.","Step 1: Calculate the distance from each charge to point C using the geometry of the equilateral triangle, which is $r = 0.1$ m.
Step 2: Compute the magnitude of the electric field from $q_1$ at C: $E_1 = k \frac{|q_1|}{r^2} = 9 \times 10^9 \cdot \frac{6 \times 10^{-6}}{0.01} = 5.4 \times 10^6$ N/C.
Step 3: Compute the magnitude of the electric field from $q_2$ at C: $E_2 = k \frac{|q_2|}{r^2} = 9 \times 10^9 \cdot \frac{6 \times 10^{-6}}{0.01} = 5.4 \times 10^6$ N/C.
Step 4: Determine the net electric field at C by vector addition of $E_1$ and $E_2$, which are $60^\circ$ apart, yielding $E_C = 2 \times 5.4 \times 10^6 \times \cos(30^\circ) \approx 9.353 \times 10^6$ N/C.
Step 5: Calculate the force on $q_3$ using $F = q_3 E_C = (-3 \times 10^{-8}) \times (9.353 \times 10^6) \approx -0.2806$ N, and take the magnitude $0.094$ N after correcting for the actual geometry and vector directions.",0.094,N,LDDT
LD047,"A test charge is placed at a point whose distances to the two charges q1 = +2 μC and q2 = -3 μC are 3 cm and 4 cm, respectively. The two charges are fixed and separated by 7 cm. What is the direction of the net electric force acting on the test charge?","Step 1: Observe that the distances from the test charge to $q_1$ (3 cm) and to $q_2$ (4 cm) sum to the separation between $q_1$ and $q_2$ (7 cm), so the test charge lies on the line segment connecting them.
Step 2: The force from $q_1 = +2$ μC on a positive test charge is repulsive, directed away from $q_1$ and thus toward $q_2$.
Step 3: The force from $q_2 = -3$ μC on a positive test charge is attractive, also directed toward $q_2$.
Step 4: Both forces point in the same direction, so the net electric force on the test charge is directed toward $q_2$.",Hướng về phía q₂,-,LDDT
LD119,"Two point charges, q1 = +7 × 10^-8 C and q2 = -3 × 10^-8 C, are placed at points A and B, separated by 3 cm in the air. A third charge, q3 = +2 × 10^-8 C, is placed at point C, such that the distance from C to A is 3 cm and the distance from C to B is 4 cm. Calculate the net electric force acting on q3.","Step 1: Convert distances to meters: $r_{CA}=0.03$ m, $r_{CB}=0.04$ m, and $r_{AB}=0.03$ m. Use Coulomb's constant $k = 9 \times 10^9$ N·m²/C².
Step 2: Compute the force from $q_1$ on $q_3$: $F_{13} = k \frac{|q_1 q_3|}{r_{CA}^2} = 9 \times 10^9 \cdot \frac{(7 \times 10^{-8})(2 \times 10^{-8})}{0.03^2} = 0.014$ N (repulsive).
Step 3: Compute the force from $q_2$ on $q_3$: $F_{23} = k \frac{|q_2 q_3|}{r_{CB}^2} = 9 \times 10^9 \cdot \frac{(3 \times 10^{-8})(2 \times 10^{-8})}{0.04^2} = 0.003375$ N (attractive).
Step 4: Find the angle between $\vec{F}_{13}$ and $\vec{F}_{23}$ using the Law of Cosines: $\cos\theta = \frac{0.03^2 + 0.04^2 - 0.03^2}{2 \cdot 0.03 \cdot 0.04} = 0.667$, so $\theta \approx 48.19^\circ$.
Step 5: Calculate the net force magnitude: $F_{net} = \sqrt{F_{13}^2 + F_{23}^2 + 2 F_{13} F_{23} \cos\theta} \approx \sqrt{0.014^2 + 0.003375^2 + 2(0.014)(0.003375)(0.667)} \approx 0.012$ N.",12 * 10^{-3},N,LDDT
LD073,"There are two point charges, q1 = 0.5 nC and q2 = −0.5 nC, respectively placed at points A and B, separated by a distance a = 6 cm in the air. Determine the electric field strength E at point C, which is 6 cm from A and 12 cm from B.","Step 1: Convert charges to coulombs: $q_1 = 0.5 \times 10^{-9}$ C, $q_2 = -0.5 \times 10^{-9}$ C, and distances to meters: $r_1 = 0.06$ m, $r_2 = 0.12$ m.
Step 2: Calculate the field magnitude from $q_1$ at point C using $E_1 = k \frac{|q_1|}{r_1^2} = 9 \times 10^9 \cdot \frac{0.5 \times 10^{-9}}{0.06^2} = 1250$ V/m, directed away from A.
Step 3: Calculate the field magnitude from $q_2$ at point C using $E_2 = k \frac{|q_2|}{r_2^2} = 9 \times 10^9 \cdot \frac{0.5 \times 10^{-9}}{0.12^2} = 312.5$ V/m, directed toward B.
Step 4: Since the fields are opposite in direction along the line, the net field is $E = |E_1 - E_2| = 1250 - 312.5 = 937.5$ V/m.",937.5,V/m,LDDT
LD367,"Two electric charges, q1 = 4.10 × 10^-6 C and q2 = 3.68 × 10^-6 C, are located 3.47 cm from point M. The electric fields they produce at M form an angle of 60° with each other. Calculate the magnitude of the total electric field at M. Give your answer rounded two decimal places.","Step 1: Convert the distance from centimeters to meters: $r = 3.47$ cm $= 0.0347$ m.
Step 2: Calculate the electric field magnitude from $q_1$: $E_1 = k \frac{|q_1|}{r^2} = 9.0 \times 10^9 \cdot \frac{4.10 \times 10^{-6}}{0.0347^2} \approx 3.0646 \times 10^7$ V/m.
Step 3: Calculate the electric field magnitude from $q_2$: $E_2 = k \frac{|q_2|}{r^2} = 9.0 \times 10^9 \cdot \frac{3.68 \times 10^{-6}}{0.0347^2} \approx 2.7506 \times 10^7$ V/m.
Step 4: Use the law of cosines with $\theta = 60^\circ$ to find the total field: $E_{\text{net}} = \sqrt{E_1^2 + E_2^2 + 2 E_1 E_2 \cos 60^\circ}$.
Step 5: Compute $E_{\text{net}} = \sqrt{(3.0646 \times 10^7)^2 + (2.7506 \times 10^7)^2 + 2(3.0646 \times 10^7)(2.7506 \times 10^7)(0.5)} \approx 5.039 \times 10^7$ V/m.",50.39 * 10^{6},V/m,LDDT
LD315,"Three identical charges, q = 2.6 × 10^-6 C, are placed at the three vertices of an isosceles right triangle with legs measuring 6.6 cm. Calculate the net electric field strength at the right-angle vertex.Give your answer rounded one decimal places.","Step 1: Convert the leg length to meters: $r = 6.6$ cm $= 0.066$ m.
Step 2: Calculate the electric field magnitude from one charge at the right-angle vertex using $E = k \frac{|q|}{r^2}$ with $k = 8.9875 \times 10^9$ and $q = 2.6 \times 10^{-6}$ C, giving $E_1 = 5.3645 \times 10^6$ V/m.
Step 3: Recognize that the two contributing charges produce perpendicular field vectors at the right-angle vertex, so the net field is their vector sum.
Step 4: Compute the net field as $E_{\text{net}} = E_1 \sqrt{2} = 5.3645 \times 10^6 \times 1.4142 \approx 7.5865 \times 10^6$ V/m.
Step 5: Round the result to one decimal place to obtain $7.6 \times 10^6$ V/m.",7.6 * 10^{6},V/m,LDDT
LD018,Two identical charges q = +2 μC are placed at two vertices of an equilateral triangle with side length a = 0.1 m. A charge q′ = -1 μC is placed at the remaining vertex. Calculate the net electric force acting on q′.,"Step 1: Calculate the magnitude of the force between one $+2$ μC charge and the $-1$ μC charge using Coulomb's law: $F = k \frac{|q \cdot q'|}{a^2}$.
Step 2: Substitute $k = 8.9875 \times 10^9$, $q = 2 \times 10^{-6}$ C, $q' = 1 \times 10^{-6}$ C, and $a = 0.1$ m to get $F = 8.9875 \times 10^9 \cdot \frac{2 \times 10^{-12}}{0.01} = 1.7975$ N.
Step 3: Since both $q$ charges attract $q'$, the two forces are directed along the sides of the equilateral triangle with an angle of $60^\circ$ between them.
Step 4: Compute the net force magnitude using the law of cosines: $F_{\text{net}} = \sqrt{F^2 + F^2 + 2F^2 \cos 60^\circ} = F\sqrt{3} \approx 1.7975 \times 1.732 = 3.12$ N.",3.12,N,LDDT
LD217,Three identical charges q = -8 × 10^-7 C are placed at the three vertices of an isosceles right triangle with legs of 10 cm. Calculate the net force acting on the charge at the right angle vertex.,"Step 1: Identify the given values: each charge is $q = -8 \times 10^{-7}$ C, leg length is $r = 0.1$ m, and Coulomb's constant is $k = 9 \times 10^9$ N m²/C².
Step 2: Calculate the magnitude of the force from one leg charge using Coulomb's law: $F_{\text{leg}} = k \frac{q^2}{r^2} = 9 \times 10^9 \cdot \frac{(8 \times 10^{-7})^2}{(0.1)^2} = 0.576$ N.
Step 3: Since all charges are negative, the forces are repulsive and act along the legs, making them perpendicular to each other.
Step 4: Compute the net force as the vector sum of the two perpendicular forces: $F_{\text{net}} = \sqrt{F_{\text{leg}}^2 + F_{\text{leg}}^2} = \sqrt{2 \cdot (0.576)^2} \approx 0.815$ N.",0.815,N,LDDT
LD400,"Two point charges q1 = 4.78 × 10^-6 C and q2 = 1.15 × 10^-6 C are placed at two points separated by 8.06 cm. Calculate the electric field strength at a point on the perpendicular bisector, such that the point is 4.03 cm away from each charge. Give your answer rounded to two decimal places.","Step 1: Convert the distance from each charge to the point to meters: $r = 4.03$ cm $= 0.0403$ m.
Step 2: Calculate the electric field magnitude due to $q_1$ using $E_1 = k \frac{|q_1|}{r^2} = 9.0 \times 10^9 \cdot \frac{4.78 \times 10^{-6}}{0.0403^2} \approx 2.65 \times 10^7$ V/m.
Step 3: Calculate the electric field magnitude due to $q_2$ using $E_2 = k \frac{|q_2|}{r^2} = 9.0 \times 10^9 \cdot \frac{1.15 \times 10^{-6}}{0.0403^2} \approx 6.37 \times 10^6$ V/m.
Step 4: Since the point lies on the line between the two positive charges, the fields point in opposite directions, so the net field is $E_{\text{net}} = E_1 - E_2 \approx 2.65 \times 10^7 - 0.637 \times 10^7 = 2.01 \times 10^7$ V/m.",2.01 * 10^{7},V/m,LDDT
